postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,30,174,79,6,3,21/09/2021,22/09/2021
3001,0,0,0,0,0,0,21/09/2021,22/09/2021
3002,4957,1,18,20.2,0,2,21/09/2021,22/09/2021
3003,5516,6,62,108.8,3,4,21/09/2021,22/09/2021
3004,9311,13,86,139.6,2,4,21/09/2021,22/09/2021
3005,523,0,0,0,0,0,21/09/2021,22/09/2021
3006,18811,18,96,95.7,1,3,21/09/2021,22/09/2021
3008,10438,11,84,105.4,0,4,21/09/2021,22/09/2021
3010,1595,0,0,0,0,0,21/09/2021,22/09/2021
3011,21464,15,189,69.9,3,3,21/09/2021,22/09/2021
3012,26295,15,202,57,1,3,21/09/2021,22/09/2021
3013,14967,6,111,40.1,1,2,21/09/2021,22/09/2021
3015,17472,19,151,108.7,2,4,21/09/2021,22/09/2021
3016,15558,5,58,32.1,0,2,21/09/2021,22/09/2021
3018,12685,8,45,63.1,0,3,21/09/2021,22/09/2021
3019,9199,1,138,10.9,0,1,21/09/2021,22/09/2021
3020,44784,31,547,69.2,4,3,21/09/2021,22/09/2021
3021,54190,79,745,145.8,13,4,21/09/2021,22/09/2021
3022,3102,0,114,0,0,0,21/09/2021,22/09/2021
3023,63974,110,657,171.9,9,4,21/09/2021,22/09/2021
3024,23852,42,293,176.1,5,4,21/09/2021,22/09/2021
3025,12155,111,523,913.2,4,6,21/09/2021,22/09/2021
3026,72,15,113,20833.3,2,7,21/09/2021,22/09/2021
3027,6650,18,112,270.7,0,5,21/09/2021,22/09/2021
3028,29198,31,226,106.2,1,4,21/09/2021,22/09/2021
3029,93946,334,1866,355.5,25,5,21/09/2021,22/09/2021
3030,100311,132,914,131.6,23,4,21/09/2021,22/09/2021
3031,18533,8,377,43.2,5,2,21/09/2021,22/09/2021
3032,29449,20,233,67.9,3,3,21/09/2021,22/09/2021
3033,14512,22,91,151.6,0,4,21/09/2021,22/09/2021
3034,11633,4,117,34.4,1,2,21/09/2021,22/09/2021
3036,5921,10,34,168.9,0,4,21/09/2021,22/09/2021
3037,51156,95,604,185.7,17,4,21/09/2021,22/09/2021
3038,27258,24,172,88,4,3,21/09/2021,22/09/2021
3039,14252,28,124,196.5,1,4,21/09/2021,22/09/2021
3040,25939,36,178,138.8,2,4,21/09/2021,22/09/2021
3041,12412,25,75,201.4,0,5,21/09/2021,22/09/2021
3042,15762,15,89,95.2,2,3,21/09/2021,22/09/2021
3043,17715,42,144,237.1,1,5,21/09/2021,22/09/2021
3044,27116,81,279,298.7,3,5,21/09/2021,22/09/2021
3045,100,0,1,0,0,0,21/09/2021,22/09/2021
3046,34061,367,851,1077.5,12,7,21/09/2021,22/09/2021
3047,20901,351,738,1679.3,35,7,21/09/2021,22/09/2021
3048,18025,317,528,1758.7,34,7,21/09/2021,22/09/2021
3049,9266,51,126,550.4,1,6,21/09/2021,22/09/2021
3050,119,0,0,0,0,0,21/09/2021,22/09/2021
3051,14939,8,259,53.6,0,3,21/09/2021,22/09/2021
3052,5697,8,102,140.4,0,4,21/09/2021,22/09/2021
3053,18538,15,158,80.9,4,3,21/09/2021,22/09/2021
3054,8426,10,42,118.7,0,4,21/09/2021,22/09/2021
3055,14160,32,91,226,7,5,21/09/2021,22/09/2021
3056,24475,37,151,151.2,8,4,21/09/2021,22/09/2021
3057,11502,11,55,95.6,2,3,21/09/2021,22/09/2021
3058,33783,97,320,287.1,6,5,21/09/2021,22/09/2021
3059,15466,184,349,1189.7,14,7,21/09/2021,22/09/2021
3060,14040,112,395,797.7,8,6,21/09/2021,22/09/2021
3061,5059,147,264,2905.7,4,7,21/09/2021,22/09/2021
3062,0,1,1,0,0,0,21/09/2021,22/09/2021
3063,574,6,9,1045.3,2,7,21/09/2021,22/09/2021
3064,75458,1151,2350,1525.4,103,7,21/09/2021,22/09/2021
3065,10447,16,109,153.2,4,4,21/09/2021,22/09/2021
3066,8512,3,98,35.2,0,2,21/09/2021,22/09/2021
3067,8199,5,41,61,1,3,21/09/2021,22/09/2021
3068,18665,33,110,176.8,4,4,21/09/2021,22/09/2021
3070,24567,24,166,97.7,1,3,21/09/2021,22/09/2021
3071,18569,21,103,113.1,3,4,21/09/2021,22/09/2021
3072,32848,32,193,97.4,5,3,21/09/2021,22/09/2021
3073,50479,98,436,194.1,12,4,21/09/2021,22/09/2021
3074,20522,99,272,482.4,11,5,21/09/2021,22/09/2021
3075,22594,118,260,522.3,11,6,21/09/2021,22/09/2021
3076,32395,91,421,280.9,16,5,21/09/2021,22/09/2021
3078,11638,11,43,94.5,1,3,21/09/2021,22/09/2021
3079,15990,6,59,37.5,1,2,21/09/2021,22/09/2021
3081,13424,35,233,260.7,5,5,21/09/2021,22/09/2021
3082,29713,68,216,228.9,8,5,21/09/2021,22/09/2021
3083,31526,25,170,79.3,4,3,21/09/2021,22/09/2021
3084,25514,8,79,31.4,0,2,21/09/2021,22/09/2021
3085,13882,7,39,50.4,2,3,21/09/2021,22/09/2021
3086,908,0,0,0,0,0,21/09/2021,22/09/2021
3087,9033,2,24,22.1,1,2,21/09/2021,22/09/2021
3088,26890,12,85,44.6,2,2,21/09/2021,22/09/2021
3089,11739,0,16,0,0,0,21/09/2021,22/09/2021
3090,2362,0,53,0,0,0,21/09/2021,22/09/2021
3091,1585,0,0,0,0,0,21/09/2021,22/09/2021
3093,3891,1,13,25.7,0,2,21/09/2021,22/09/2021
3094,8963,2,12,22.3,0,2,21/09/2021,22/09/2021
3095,27770,4,38,14.4,0,1,21/09/2021,22/09/2021
3096,1966,2,12,101.7,0,4,21/09/2021,22/09/2021
3097,1443,0,2,0,0,0,21/09/2021,22/09/2021
3099,4877,0,9,0,0,0,21/09/2021,22/09/2021
3101,24604,4,59,16.3,1,1,21/09/2021,22/09/2021
3102,6634,2,20,30.1,1,2,21/09/2021,22/09/2021
3103,15343,1,16,6.5,1,1,21/09/2021,22/09/2021
3104,20404,2,33,9.8,0,1,21/09/2021,22/09/2021
3105,10877,1,14,9.2,0,1,21/09/2021,22/09/2021
3106,16620,6,35,36.1,1,2,21/09/2021,22/09/2021
3107,13557,2,14,14.8,0,1,21/09/2021,22/09/2021
3108,20823,16,52,76.8,2,3,21/09/2021,22/09/2021
3109,28357,11,62,38.8,1,2,21/09/2021,22/09/2021
3111,12348,9,25,72.9,0,3,21/09/2021,22/09/2021
3113,8460,0,8,0,0,0,21/09/2021,22/09/2021
3114,3823,1,7,26.2,0,2,21/09/2021,22/09/2021
3115,3799,0,6,0,0,0,21/09/2021,22/09/2021
3116,9872,1,28,10.1,0,1,21/09/2021,22/09/2021
3121,30502,15,174,49.2,2,2,21/09/2021,22/09/2021
3122,23508,1,66,4.3,0,1,21/09/2021,22/09/2021
3123,14319,1,29,7,0,1,21/09/2021,22/09/2021
3124,22091,1,33,4.5,0,1,21/09/2021,22/09/2021
3125,15021,1,44,6.7,1,1,21/09/2021,22/09/2021
3126,8060,0,10,0,0,0,21/09/2021,22/09/2021
3127,18445,0,27,0,0,0,21/09/2021,22/09/2021
3128,19832,4,63,20.2,1,2,21/09/2021,22/09/2021
3129,17374,4,23,23,1,2,21/09/2021,22/09/2021
3130,32171,8,35,24.9,1,2,21/09/2021,22/09/2021
3131,22499,0,27,0,0,0,21/09/2021,22/09/2021
3132,16148,0,19,0,0,0,21/09/2021,22/09/2021
3133,22119,0,25,0,0,0,21/09/2021,22/09/2021
3134,32782,2,37,6.1,0,1,21/09/2021,22/09/2021
3135,19954,3,21,15,3,1,21/09/2021,22/09/2021
3136,44373,12,69,27,2,2,21/09/2021,22/09/2021
3137,13872,0,88,0,0,0,21/09/2021,22/09/2021
3138,21964,4,38,18.2,0,1,21/09/2021,22/09/2021
3139,13722,2,13,14.6,1,1,21/09/2021,22/09/2021
3140,16532,1,35,6,0,1,21/09/2021,22/09/2021
3141,25149,12,86,47.7,6,2,21/09/2021,22/09/2021
3142,12912,0,34,0,0,0,21/09/2021,22/09/2021
3143,9052,2,38,22.1,0,2,21/09/2021,22/09/2021
3144,10885,4,26,36.7,1,2,21/09/2021,22/09/2021
3145,23294,2,54,8.6,0,1,21/09/2021,22/09/2021
3146,25256,3,36,11.9,0,1,21/09/2021,22/09/2021
3147,14634,0,41,0,0,0,21/09/2021,22/09/2021
3148,8643,1,34,11.6,1,1,21/09/2021,22/09/2021
3149,33612,6,76,17.9,1,1,21/09/2021,22/09/2021
3150,60082,5,97,8.3,0,1,21/09/2021,22/09/2021
3151,10269,4,14,39,0,2,21/09/2021,22/09/2021
3152,33089,2,37,6,0,1,21/09/2021,22/09/2021
3153,20552,4,21,19.5,1,1,21/09/2021,22/09/2021
3154,4418,0,5,0,0,0,21/09/2021,22/09/2021
3155,22193,0,28,0,0,0,21/09/2021,22/09/2021
3156,37458,5,33,13.3,1,1,21/09/2021,22/09/2021
3158,6648,0,4,0,0,0,21/09/2021,22/09/2021
3159,2652,0,3,0,0,0,21/09/2021,22/09/2021
3160,9014,0,8,0,0,0,21/09/2021,22/09/2021
3161,15271,2,44,13.1,0,1,21/09/2021,22/09/2021
3162,17452,5,27,28.7,0,2,21/09/2021,22/09/2021
3163,32355,14,70,43.3,0,2,21/09/2021,22/09/2021
3164,0,0,0,0,0,0,21/09/2021,22/09/2021
3165,27636,4,50,14.5,1,1,21/09/2021,22/09/2021
3166,23759,4,41,16.8,1,1,21/09/2021,22/09/2021
3167,9259,1,24,10.8,0,1,21/09/2021,22/09/2021
3168,20200,12,62,59.4,1,3,21/09/2021,22/09/2021
3169,20122,2,52,9.9,0,1,21/09/2021,22/09/2021
3170,19370,0,47,0,0,0,21/09/2021,22/09/2021
3171,21713,7,44,32.2,0,2,21/09/2021,22/09/2021
3172,23091,1,28,4.3,0,1,21/09/2021,22/09/2021
3173,25785,13,85,50.4,1,3,21/09/2021,22/09/2021
3174,38465,12,119,31.2,2,2,21/09/2021,22/09/2021
3175,53297,52,374,97.6,1,3,21/09/2021,22/09/2021
3177,11305,16,66,141.5,8,4,21/09/2021,22/09/2021
3178,33669,11,63,32.7,1,2,21/09/2021,22/09/2021
3179,6019,4,17,66.5,0,3,21/09/2021,22/09/2021
3180,7462,1,11,13.4,0,1,21/09/2021,22/09/2021
3181,20267,6,114,29.6,0,2,21/09/2021,22/09/2021
3182,23394,9,109,38.5,2,2,21/09/2021,22/09/2021
3183,18491,13,64,70.3,0,3,21/09/2021,22/09/2021
3184,15547,0,28,0,0,0,21/09/2021,22/09/2021
3185,12932,0,31,0,0,0,21/09/2021,22/09/2021
3186,23258,2,113,8.6,0,1,21/09/2021,22/09/2021
3187,15997,1,48,6.3,1,1,21/09/2021,22/09/2021
3188,18082,2,16,11.1,0,1,21/09/2021,22/09/2021
3189,5894,0,7,0,0,0,21/09/2021,22/09/2021
3190,10457,4,83,38.3,0,2,21/09/2021,22/09/2021
3191,10242,5,19,48.8,0,2,21/09/2021,22/09/2021
3192,22292,7,75,31.4,2,2,21/09/2021,22/09/2021
3193,19505,0,27,0,0,0,21/09/2021,22/09/2021
3194,12965,1,18,7.7,0,1,21/09/2021,22/09/2021
3195,35867,10,64,27.9,5,2,21/09/2021,22/09/2021
3196,25329,5,91,19.7,0,1,21/09/2021,22/09/2021
3197,11547,1,15,8.7,0,1,21/09/2021,22/09/2021
3198,16462,3,26,18.2,0,1,21/09/2021,22/09/2021
3199,54299,6,106,11,0,1,21/09/2021,22/09/2021
3200,5759,0,25,0,0,0,21/09/2021,22/09/2021
3201,20713,4,40,19.3,1,1,21/09/2021,22/09/2021
3202,2907,1,1,34.4,0,2,21/09/2021,22/09/2021
3204,30642,11,65,35.9,0,2,21/09/2021,22/09/2021
3205,10919,3,24,27.5,1,2,21/09/2021,22/09/2021
3206,10366,6,35,57.9,0,3,21/09/2021,22/09/2021
3207,16180,17,65,105.1,3,4,21/09/2021,22/09/2021
3211,1319,0,25,0,0,0,21/09/2021,22/09/2021
3212,16650,2,28,12,0,1,21/09/2021,22/09/2021
3213,4032,0,16,0,0,0,21/09/2021,22/09/2021
3214,23960,0,52,0,0,0,21/09/2021,22/09/2021
3215,20615,6,51,29.1,0,2,21/09/2021,22/09/2021
3216,56285,5,114,8.9,1,1,21/09/2021,22/09/2021
3217,6607,2,21,30.3,0,2,21/09/2021,22/09/2021
3218,13438,3,15,22.3,0,2,21/09/2021,22/09/2021
3219,19719,0,22,0,0,0,21/09/2021,22/09/2021
3220,16352,2,26,12.2,0,1,21/09/2021,22/09/2021
3221,754,0,1,0,0,0,21/09/2021,22/09/2021
3222,14962,3,12,20.1,0,2,21/09/2021,22/09/2021
3223,7401,0,6,0,0,0,21/09/2021,22/09/2021
3224,14187,0,13,0,0,0,21/09/2021,22/09/2021
3225,4058,0,3,0,0,0,21/09/2021,22/09/2021
3226,14161,2,17,14.1,1,1,21/09/2021,22/09/2021
3227,4821,0,7,0,0,0,21/09/2021,22/09/2021
3228,17939,3,10,16.7,0,1,21/09/2021,22/09/2021
